,l_kurtosis,l_skew,l_tvar,l_tmean,a_kurtosis,a_skew,a_tvar,a_tmean,b_kurtosis,b_skew,b_tvar,b_tmean,label
261,3.410861477235806,-2.1822329562461964,1457.0778287715132,176.53278585105167,2.7806725995692396,2.1558424756314465,281.8491986346925,73.64682384545038,2.92410913835215,-2.1715974798428785,310.51085655904063,193.23869312985826,underfermented
262,3.5512925066225227,-2.2368068007792345,1611.6990234266043,176.0681209276406,2.900854508891335,2.184296686980771,264.0791889152654,73.37687428555098,3.182263576979368,-2.2252936023063974,306.21539080368746,193.36460405235482,underfermented
263,5.179733836684262,-2.5520108424513457,1258.450573292347,175.6810554555327,4.4329777110835185,2.503275699145901,216.49206843354034,72.59661222565158,4.613847471045321,-2.525478496353117,248.26509530732727,193.6067824074074,underfermented
264,5.7808422021913906,-2.645317543490425,1219.959283598112,175.60181862997257,4.989011716558132,2.611388053410259,198.8723358786933,72.04836655521262,5.178462347547358,-2.624132928422996,234.95113172196983,194.02487604309556,underfermented
265,6.97259250707336,-2.875359214994963,1145.5297668674777,177.2003206447188,6.55087274650143,2.890227656688666,178.1543932910912,71.47254022347965,6.792280577521231,-2.9171285389333215,211.4322902330699,194.77381973022406,underfermented
266,5.152100337517519,-2.544626341195815,1241.4099936143457,177.47038630258345,4.519289851506161,2.5217624256785762,209.96234379214127,72.22190907921811,4.773801176254919,-2.548029546264141,230.34863758191304,194.47278627972108,underfermented
267,4.178129362950248,-2.307102779128818,1617.091445725207,179.11422325102882,2.0683385525506184,1.9846172389560373,305.1596113295231,74.34406935871056,2.4576577695277004,-2.0582237173074294,362.2487784468907,191.685262345679,underfermented
268,5.0534677557295264,-2.5064762674378644,1257.6889550220976,176.3530526977595,4.3001276867369285,2.4772220919983905,220.2227575874796,72.59444172953818,4.549043255457202,-2.504691492765227,251.979358648622,193.8464828389346,underfermented
269,2.582987986052114,-1.9919602196129478,1705.6628408822473,176.56145526120255,1.574683951522279,1.863840119747062,324.8524959082798,74.38024548468222,1.7763814147589745,-1.898680846778596,369.34951768410997,192.883830661294,underfermented
270,3.2736329451040733,-2.1615779852443495,1573.5621290131219,176.90887067043894,2.6321277726819075,2.1219186869528905,274.9155614105906,73.40338484510745,2.8526884360817295,-2.1512481897094773,316.0445981204519,193.5950766603795,underfermented
271,2.2126150077007,-1.947524245788939,2019.9654400464854,176.7886915580704,1.669028335807357,1.8856594821608108,314.9471871322099,74.05755351223137,1.9031890347420415,-1.928451843580506,366.3300036430969,193.38890775034292,underfermented
272,7.3953574842742,-2.9180854209115292,1015.0071672474221,176.940337934385,6.926460846737887,2.9529036594407163,182.12648157334013,71.54219050068588,7.246407470467661,-2.981775629912938,201.73180729975044,194.635122099337,underfermented
273,3.176479657156303,-2.1603540116190465,1629.3434065039903,174.83881458619112,2.6160628662104397,2.123198192847897,263.240017830629,73.5055662722908,2.8754592961034406,-2.160877091662711,314.5383718132577,193.02156457190216,underfermented
274,6.4131033328929075,-2.7490543471218363,1093.2002270529701,176.66403163580247,5.806807022623602,2.757007487520993,213.36193594645553,72.23816858139003,5.735512900514612,-2.734043000598548,224.3605793634134,194.15634516460906,underfermented
275,3.593272081296531,-2.235798397032919,1438.0405288328463,176.98565543552812,2.9447350555011695,2.193948796883794,267.56779839424956,73.30867526863283,3.1267434510738648,-2.213712711510264,274.4498059731787,193.81272433699132,underfermented
276,3.19974758793591,-2.1531602654430726,1460.13298460757,174.7321750685871,2.6623296766542692,2.1261501443525193,278.8122090485349,73.92223315329218,2.8005315241631417,-2.14368747919895,303.2866989558122,192.7348859739369,underfermented
277,3.6755833973692944,-2.2540061388009103,1395.4762796752625,176.2432771061957,3.2367849422686,2.259448847096137,252.33204682136414,73.20726808984911,3.3963892907331505,-2.276181688703127,288.0644690263396,193.3362244941701,underfermented
278,3.0855624731874283,-2.1419881128548566,2045.2046917139833,174.53703339334706,2.0598852358245425,1.9883254562490371,307.75684091716903,74.7719127229081,2.3234118657677723,-2.0395544112244828,388.7713804904143,190.70885023719708,underfermented
279,3.866293501057423,-2.294557105214979,1701.6867045091217,177.73988868884317,2.4371075413056884,2.0755503704051357,300.77067545161685,73.5263178726566,2.6762398364036892,-2.1233970205644104,367.98034833524395,193.1727837077046,underfermented
280,3.4594578758413066,-2.2145454571383714,1622.5505101630351,177.0323609682213,3.023799626805461,2.208500128086735,269.9568782023422,73.25316979595335,3.202275289716777,-2.2327508949312453,333.42107409304964,193.2781762259945,underfermented
281,3.5606534664947196,-2.2377965284837944,1549.121551790484,176.41807734625058,3.136122405418699,2.230242921548813,279.04209457199386,73.47642411122543,3.138342323517695,-2.2246711993253983,308.3428932344081,193.2726557498857,underfermented
282,2.5171775251392585,-1.9310735333018165,1434.29235460404,177.11497256515776,1.2433028177147758,1.7668011360546056,378.620388010601,75.63198145290352,1.5282286037742274,-1.822256534705535,375.6308413920688,191.90675161465478,underfermented
283,2.737470607789805,-2.058533038692175,1644.210895447643,174.1525175040009,2.0542384446615847,1.9880750457102978,293.6935965523517,74.3544298696845,2.293071209799736,-2.026968419365942,323.1826502527435,192.3147202932099,underfermented
284,4.627847017798847,-2.4283282008524383,1236.7294960912081,175.43629822530863,3.9445246865552637,2.402912714211836,243.21532769634564,73.20628286465478,4.04409332048296,-2.412573736497638,276.54559650294317,192.89766653806583,underfermented
285,2.8118910700107227,-2.0630085682007184,1635.3767408968304,172.5657257373114,1.985547018675847,1.9651079231445783,321.62799627698627,75.00313243026977,2.144364602263779,-1.9915977619214793,345.67217012386635,191.47446995027434,underfermented
286,1.78223388962442,-1.8282329830711073,1965.297500626438,174.50656107110197,1.2945915145058278,1.7859686070950647,329.9654005035796,74.97486718392776,1.427658487166295,-1.806973896089139,384.52445789819114,191.79749807098764,underfermented
287,3.048098592007242,-2.1451105399431736,1895.506372861805,172.43106159979425,2.589083706380735,2.1127242366406995,274.8550937822347,73.95286394032922,2.7918504778209465,-2.145878126960096,366.4643885780203,191.72099494170095,underfermented
288,3.1415872893689345,-2.1189627275746132,1494.918962126061,175.2943284179241,2.428016837212434,2.0707768775614763,299.5264213558141,74.34157800354367,2.6266501524554027,-2.0982529796301734,305.6321141079708,192.5156973022405,underfermented
289,3.2168267850454777,-2.1728789600228615,1928.1883308634183,173.11216092249657,2.3082572317260954,2.0464656992818724,292.6817077889854,74.61273919753087,2.585991483838294,-2.098917086468589,373.02502445057075,190.5126018804298,underfermented
290,3.60083884348302,-2.255812649011787,1540.766388728244,174.29472808070417,3.0688687871777303,2.2228536010064617,274.32384610630766,73.76423725422954,3.1585401767408987,-2.232155269005757,310.08675154344564,192.4301012374257,underfermented
291,3.4971233003293456,-2.2178446626823107,1481.6085856005232,176.7763464506173,3.008413381104149,2.208691603948579,263.7603373243834,73.5335771033379,3.188248774912328,-2.2296518793958673,297.19169108292436,193.05235675297212,underfermented
292,2.907744903162114,-2.085721535374439,1509.2443467521807,172.72567479709647,2.1232688598597207,1.9975698282851935,317.9125763652374,75.02042123914038,2.241287520025633,-2.013924250072885,331.4311266390085,191.3436696959305,underfermented
293,4.089016869327749,-2.3416916867878226,1319.6969433397576,172.7721572788066,3.4780665026981277,2.308524040451556,258.2402471205493,73.8298141718107,3.68586652826212,-2.3364683802364477,287.38878088862884,191.9147883802012,underfermented
294,4.918338022671794,-2.466252024865065,1128.1720710337884,174.70303733710563,4.074728402566717,2.4322181991107596,243.72588511408955,73.48589934842249,4.400180673406859,-2.471171722168128,238.23354780877978,192.7551398176726,underfermented
295,4.441356885363636,-2.415606651581121,1437.8483060822864,175.76599351280294,3.469245695666751,2.309046050132779,253.16684901049598,73.35962041323731,3.9243436539463756,-2.384796365796741,284.80335234230506,192.9265537122771,underfermented
296,3.2663881674794784,-2.1744405301109095,1597.9035582394752,174.16260766746686,2.8276784469539793,2.166733941038229,271.5663855686259,73.88201374599909,2.9525158431326863,-2.1797596529416405,311.9268439726482,192.19678126428897,underfermented
297,3.8500262854723264,-2.2704790650903277,1310.5906842446777,175.6636819844536,3.4664639515221065,2.3024760702297686,256.65476185879254,73.54909872256516,3.556998086797896,-2.3026050295737397,263.68762811774803,192.82723551097394,underfermented
298,5.743688484880572,-2.636423568075082,1269.8741214544264,176.43496141975308,4.842752663663299,2.582397488593411,217.22119921831074,72.61911501200274,5.0033760058445935,-2.599590790079672,246.936238622277,193.40311928440786,underfermented
